Time,V2_rms,V3_rms,V6_rms,V8_rms,V10_rms,V13_rms
5.34465,1.045439699,1.010480638,1.070472201,1.090519404,1.033559479,1.047668802
5.3613,1.045421993,1.010461115,1.070452462,1.090501806,1.033539715,1.047648769
5.37795,1.045404396,1.010441646,1.070432896,1.090484349,1.033520127,1.047628912
5.3946,1.045386923,1.010422257,1.070413522,1.090467044,1.03350073,1.047609249
5.41125,1.045369586,1.010402974,1.07039435,1.090449897,1.033481535,1.047589793
5.4279,1.045352396,1.010383818,1.070375388,1.090432912,1.033462548,1.047570549
5.44455,1.045335362,1.010364813,1.07035664,1.090416091,1.033443772,1.047551523
5.4612,1.04531849,1.010345975,1.070338107,1.090399432,1.033425205,1.047532713
5.47785,1.045301784,1.01032732,1.070319783,1.090382931,1.033406844,1.047514116
5.4945,1.045285246,1.010308862,1.070301663,1.090366583,1.03338868,1.047495725
5.51115,1.045268877,1.010290608,1.070283739,1.090350382,1.033370706,1.047477532
5.5278,1.045252674,1.010272567,1.070265999,1.090334321,1.033352911,1.047459525
5.54445,1.045236635,1.01025474,1.070248433,1.090318391,1.033335283,1.047441694
5.5611,1.045220758,1.010237129,1.07023103,1.090302587,1.033317813,1.047424027
